"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1985","13","","","18-089-1016","AQS"
"01/02/1985","58","","","17-031-0040","AQS"
"01/03/1985","67","","","17-031-0040","AQS"
"01/04/1985","67","","","17-031-0040","AQS"
"01/05/1985","40","","","17-031-0040","AQS"
"01/06/1985","17","","","17-031-0040","AQS"
"01/07/1985","26","","","17-031-0040","AQS"
"01/08/1985","54","","","17-031-0040","AQS"
"01/09/1985","44","","","17-031-0040","AQS"
"01/10/1985","53","","","17-031-0040","AQS"
"01/11/1985","55","","","17-031-0040","AQS"
"01/12/1985","28","","","17-031-1102","AQS"
"01/13/1985","24","","","17-031-0040","AQS"
"01/14/1985","39","","","17-031-0040","AQS"
"01/15/1985","54","","","17-031-0040","AQS"
"01/16/1985","51","","","17-031-0040","AQS"
"01/17/1985","42","","","17-031-0040","AQS"
"01/18/1985","52","","","17-031-0040","AQS"
"01/19/1985","24","","East Chicago- Post Office","18-089-0015","AQS"
"01/20/1985","15","","East Chicago- Post Office","18-089-0015","AQS"
"01/21/1985","25","","","17-031-0040","AQS"
"01/22/1985","31","","","17-031-0040","AQS"
"01/23/1985","33","","","17-031-0040","AQS"
"01/24/1985","32","","","17-031-0040","AQS"
"01/25/1985","44","","","17-031-0040","AQS"
"01/26/1985","25","","","17-031-0054","AQS"
"01/27/1985","31","","","17-031-1102","AQS"
"01/28/1985","47","","East Chicago- Post Office","18-089-0015","AQS"
"01/29/1985","44","","","17-031-1102","AQS"
"01/30/1985","32","","","17-197-0012","AQS"
"01/31/1985","38","","East Chicago- Post Office","18-089-0015","AQS"
"02/01/1985","49","","East Chicago- Post Office","18-089-0015","AQS"
"02/02/1985","45","","","17-031-0040","AQS"
"02/03/1985","31","","East Chicago- Post Office","18-089-0015","AQS"
"02/04/1985","75","","East Chicago- Post Office","18-089-0015","AQS"
"02/05/1985","64","","","17-031-0040","AQS"
"02/06/1985","50","","","17-031-0040","AQS"
"02/07/1985","47","","","17-031-0040","AQS"
"02/08/1985","69","","","17-031-0040","AQS"
"02/09/1985","43","","East Chicago- Post Office","18-089-0015","AQS"
"02/10/1985","19","","","17-031-0040","AQS"
"02/11/1985","48","","","17-031-0040","AQS"
"02/12/1985","31","","","17-031-0040","AQS"
"02/13/1985","35","","","17-031-0040","AQS"
"02/14/1985","27","","","17-031-0040","AQS"
"02/15/1985","40","","","17-031-0040","AQS"
"02/16/1985","28","","","17-031-0040","AQS"
"02/17/1985","18","","","17-031-0040","AQS"
"02/18/1985","34","","","17-031-0040","AQS"
"02/19/1985","49","","","17-031-0040","AQS"
"02/20/1985","53","","","17-031-0040","AQS"
"02/21/1985","47","","","17-031-0040","AQS"
"02/22/1985","75","","","17-031-0040","AQS"
"02/23/1985","62","","","17-031-0054","AQS"
"02/24/1985","47","","","17-031-0040","AQS"
"02/25/1985","53","","","17-031-0040","AQS"
"02/26/1985","43","","","17-031-0040","AQS"
"02/27/1985","45","","","17-031-0040","AQS"
"02/28/1985","52","","","17-031-0040","AQS"
"03/01/1985","53","","","17-031-0040","AQS"
"03/02/1985","35","","East Chicago- Post Office","18-089-0015","AQS"
"03/03/1985","30","","","18-089-1016","AQS"
"03/04/1985","55","","","17-031-0040","AQS"
"03/05/1985","53","","","17-031-0040","AQS"
"03/06/1985","38","","","18-089-1016","AQS"
"03/07/1985","52","","","17-031-0040","AQS"
"03/08/1985","42","","","18-089-1016","AQS"
"03/09/1985","39","","","18-089-1016","AQS"
"03/10/1985","40","","","18-089-1016","AQS"
"03/11/1985","54","","","17-031-0040","AQS"
"03/12/1985","45","","","17-031-0040","AQS"
"03/13/1985","55","","","17-031-0040","AQS"
"03/14/1985","43","","","17-031-0040","AQS"
"03/15/1985","58","","","17-031-0040","AQS"
"03/16/1985","51","","","17-031-1102","AQS"
"03/17/1985","43","","","17-031-1102","AQS"
"03/18/1985","51","","","17-031-0054","AQS"
"03/19/1985","64","","","17-031-0040","AQS"
"03/20/1985","53","","","17-031-1102","AQS"
"03/21/1985","52","","","17-031-0040","AQS"
"03/22/1985","61","","East Chicago- Post Office","18-089-0015","AQS"
"03/23/1985","35","","","17-031-0040","AQS"
"03/24/1985","33","","","18-089-1016","AQS"
