Year,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft
1985,12,2998841,495993,666,1711,,26892,29096,218814,52658,121264,44892
1986,12,3003105,519787,744,1524,,30918,33529,226536,56274,121751,48511
1987,12,3018338,485282,687,1172,,29815,34172,209718,50931,119072,39715
1988,12,2994100,518141,660,1206,,28975,35988,225656,52060,128584,45012
1989,12,2988260,526359,742,1152,,31588,37615,227631,51580,130153,45898
1990,12,2783726,538101,850,1335,,37156,41114,228823,50203,130000,48620
1991,12,2811478,550794,925,1213,,43783,42237,231318,52234,131688,47396
1992,12,2832901,509098,939,1169,,38448,41080,213731,49046,119697,44988
1993,12,2788996,491740,845,1109,,35189,39753,207422,45670,121314,40438
1994,12,2802494,486166,928,931,,33925,40380,205001,43821,121164,40016
1995,12,2749811,466798,824,837,,30086,39205,197923,40239,121487,36197
1996,12,2754118,453864,789,1002,,26860,37097,194058,40475,119492,34091
1997,12,2765852,451051,757,790,,25289,36519,193848,40632,119609,33607
1998,12,2750917,439328,703,654,,23117,36110,189372,36009,121537,31826
1999,12,2821032,406928,641,748,,20210,28027,178651,30122,112454,36075
2000,12,2896016,375696,631,813,,19345,26545,164181,28327,106127,29727
2001,12,2910709,347889,666,945,,18433,25533,151156,25966,97496,27694
2002,12,2938299,339268,648,892,,18532,24842,147177,25552,96380,25245
2003,12,2898374,327696,598,768,,17302,19784,144622,25064,96779,22779
2004,12,2882746,317218,448,908,,15912,18746,140602,24428,93375,22799
2005,12,2873441,297593,448,872,,15964,17943,131183,25314,83373,22496
2006,12,2857796,294066,468,854,,15863,17445,129718,24153,83737,21828
2007,12,2824434,286582,443,694,,15425,17424,126298,24752,82942,18604
2008,12,2829304,297051,510,750,,16653,17032,131053,26041,86043,18969
2009,12,2848431,273699,458,823,,15877,15727,120407,26494,78444,15469
2010,12,2695598,269204,432,712,,14213,13757,120045,26203,74764,19078
