"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1985","31","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"01/02/1985","23","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"01/03/1985","21","","CARY GROVE HS","17-111-0001","AQS"
"01/04/1985","22","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"01/05/1985","28","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"01/06/1985","22","","","17-197-1007","AQS"
"01/07/1985","23","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"01/08/1985","27","","WATER PLANT","17-031-7002","AQS"
"01/09/1985","24","","NORTH FIRESTATION","17-097-1002","AQS"
"01/10/1985","27","","WATER PLANT","17-031-7002","AQS"
"01/11/1985","27","","","17-197-1007","AQS"
"01/12/1985","30","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"01/13/1985","36","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"01/14/1985","29","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"01/15/1985","24","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"01/16/1985","19","","","17-197-1007","AQS"
"01/17/1985","23","","","17-197-1007","AQS"
"01/18/1985","26","","","17-197-1007","AQS"
"01/19/1985","27","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"01/20/1985","23","","","17-197-1007","AQS"
"01/21/1985","25","","","17-197-1007","AQS"
"01/22/1985","31","","","17-197-1007","AQS"
"01/23/1985","29","","","17-197-1007","AQS"
"01/24/1985","27","","","17-197-1007","AQS"
"01/25/1985","29","","","17-197-1007","AQS"
"01/26/1985","26","","","17-197-1007","AQS"
"01/27/1985","28","","","17-197-1007","AQS"
"01/28/1985","26","","","17-197-1007","AQS"
"01/29/1985","27","","","17-197-1007","AQS"
"01/30/1985","26","","","17-197-1007","AQS"
"01/31/1985","31","","","17-197-1007","AQS"
"02/01/1985","31","","","17-197-1007","AQS"
"02/02/1985","30","","","17-197-1007","AQS"
"02/03/1985","32","","","17-197-1007","AQS"
"02/04/1985","34","","","17-197-1007","AQS"
"02/05/1985","36","","","17-197-1007","AQS"
"02/06/1985","42","","","17-197-1007","AQS"
"02/07/1985","31","","","17-197-1007","AQS"
"02/08/1985","35","","","17-197-1007","AQS"
"02/09/1985","38","","","17-197-1007","AQS"
"02/10/1985","26","","","17-197-1007","AQS"
"02/11/1985","31","","","17-197-1007","AQS"
"02/12/1985","40","","","17-197-1007","AQS"
"02/13/1985","37","","","17-197-1007","AQS"
"02/14/1985","38","","","17-197-1007","AQS"
"02/15/1985","35","","","17-197-1007","AQS"
"02/16/1985","38","","","17-197-1007","AQS"
"02/17/1985","36","","","17-197-1007","AQS"
"02/18/1985","35","","","17-197-1007","AQS"
"02/19/1985","35","","","17-197-1007","AQS"
"02/20/1985","31","","","17-197-1007","AQS"
"02/21/1985","30","","","17-197-1007","AQS"
"02/22/1985","26","","","17-197-1007","AQS"
"02/23/1985","29","","","17-197-1007","AQS"
"02/24/1985","28","","","17-197-1007","AQS"
"02/25/1985","27","","","17-197-1007","AQS"
"02/26/1985","28","","","17-197-1007","AQS"
"02/27/1985","26","","LARSEN JUNIOR HIGH","17-089-0005","AQS"
"02/28/1985","26","","","17-197-1007","AQS"
"03/01/1985","23","","CARY GROVE HS","17-111-0001","AQS"
"03/02/1985","30","","WATER PLANT","17-031-7002","AQS"
"03/03/1985","28","","WATER PLANT","17-031-7002","AQS"
"03/04/1985","34","","","17-097-0001","AQS"
"03/05/1985","35","","CARY GROVE HS","17-111-0001","AQS"
"03/06/1985","38","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"03/07/1985","29","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"03/08/1985","37","","","17-197-1007","AQS"
"03/09/1985","39","","","17-197-1007","AQS"
"03/10/1985","44","","","17-197-1007","AQS"
"03/11/1985","35","","","17-197-1007","AQS"
"03/12/1985","37","","WATER PLANT","17-031-7002","AQS"
"03/13/1985","29","","","17-197-1007","AQS"
"03/14/1985","36","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"03/15/1985","40","","","17-197-1007","AQS"
"03/16/1985","39","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"03/17/1985","41","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"03/18/1985","37","","","17-197-1007","AQS"
"03/19/1985","42","","","17-197-1007","AQS"
"03/20/1985","34","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"03/21/1985","33","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"03/22/1985","36","","NORTH FIRESTATION","17-097-1002","AQS"
"03/23/1985","21","","","17-197-1007","AQS"
"03/24/1985","36","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"03/25/1985","36","","WATER PLANT","17-031-7002","AQS"
"03/26/1985","74","","","17-197-1007","AQS"
"03/27/1985","45","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"03/28/1985","28","","NORTH FIRESTATION","17-097-1002","AQS"
"03/29/1985","36","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"03/30/1985","35","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"03/31/1985","40","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"04/01/1985","40","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"04/02/1985","43","","","17-197-1007","AQS"
"04/03/1985","42","","TAFT HS","17-031-1003","AQS"
"04/04/1985","44","","","17-197-1007","AQS"
"04/05/1985","32","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"04/06/1985","36","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"04/07/1985","39","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"04/08/1985","35","","","17-197-1007","AQS"
"04/09/1985","41","","","17-197-1007","AQS"
"04/10/1985","32","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"04/11/1985","43","","","17-197-1007","AQS"
"04/12/1985","74","","COOK COUNTY TRAILER","17-031-1601","AQS"
"04/13/1985","50","","COOK COUNTY TRAILER","17-031-1601","AQS"
"04/14/1985","42","","COOK COUNTY TRAILER","17-031-1601","AQS"
"04/15/1985","36","","CARY GROVE HS","17-111-0001","AQS"
"04/16/1985","45","","COOK COUNTY TRAILER","17-031-1601","AQS"
"04/17/1985","77","","","17-197-1007","AQS"
"04/18/1985","93","","","17-197-1007","AQS"
"04/19/1985","112","","","17-197-1007","AQS"
"04/20/1985","54","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"04/21/1985","61","","","17-197-1007","AQS"
"04/22/1985","50","","","17-197-1007","AQS"
"04/23/1985","41","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"04/24/1985","30","","","17-197-1007","AQS"
"04/25/1985","71","","","18-127-0020","AQS"
"04/26/1985","93","","","17-197-1007","AQS"
"04/27/1985","32","","","17-031-1002","AQS"
"04/28/1985","71","","TAFT HS","17-031-1003","AQS"
"04/29/1985","67","","","17-197-1007","AQS"
"04/30/1985","115","","BUTTERFIELD SCHOOL","17-097-3001","AQS"
"05/01/1985","44","","TAFT HS","17-031-1003","AQS"
"05/02/1985","50","","TAFT HS","17-031-1003","AQS"
"05/03/1985","51","","","17-197-1007","AQS"
"05/04/1985","90","","TAFT HS","17-031-1003","AQS"
"05/05/1985","49","","","17-197-1007","AQS"
"05/06/1985","48","","","17-197-1007","AQS"
"05/07/1985","51","","","18-127-0020","AQS"
"05/08/1985","108","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/09/1985","143","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/10/1985","126","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/11/1985","67","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/12/1985","45","","COOK COUNTY TRAILER","17-031-4002","AQS"
"05/13/1985","48","","","17-197-1007","AQS"
"05/14/1985","64","","","17-197-1007","AQS"
"05/15/1985","35","","","17-197-1007","AQS"
"05/16/1985","32","","TAFT HS","17-031-1003","AQS"
"05/17/1985","38","","CARY GROVE HS","17-111-0001","AQS"
"05/18/1985","47","","","17-197-1007","AQS"
"05/19/1985","90","","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS"
"05/20/1985","41","","CARY GROVE HS","17-111-0001","AQS"
"05/21/1985","43","","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS"
"05/22/1985","71","","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS"
"05/23/1985","84","","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS"
