"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1988","7","","PERSHING SCHOOL","17-197-1002","AQS"
"01/03/1988","23","","WASHINGTON HS","17-031-0022","AQS"
"01/04/1988","57","","","18-127-0022","AQS"
"01/05/1988","22","","WASHINGTON HS","17-031-0022","AQS"
"01/06/1988","61","","WASHINGTON HS","17-031-0022","AQS"
"01/07/1988","60","","WASHINGTON HS","17-031-0022","AQS"
"01/08/1988","67","","WASHINGTON HS","17-031-0022","AQS"
"01/09/1988","44","","WASHINGTON HS","17-031-0022","AQS"
"01/10/1988","47","","","18-127-0022","AQS"
"01/11/1988","36","","WASHINGTON HS","17-031-0022","AQS"
"01/12/1988","57","","PERSHING SCHOOL","17-197-1002","AQS"
"01/13/1988","47","","WASHINGTON HS","17-031-0022","AQS"
"01/14/1988","43","","WASHINGTON HS","17-031-0022","AQS"
"01/15/1988","26","","WASHINGTON HS","17-031-0022","AQS"
"01/16/1988","85","","VILLAGE HALL","17-031-1016","AQS"
"01/17/1988","24","","WASHINGTON HS","17-031-0022","AQS"
"01/18/1988","32","","","18-089-0004","AQS"
"01/19/1988","36","","WASHINGTON HS","17-031-0022","AQS"
"01/20/1988","24","","WASHINGTON HS","17-031-0022","AQS"
"01/21/1988","19","","WASHINGTON HS","17-031-0022","AQS"
"01/22/1988","39","","VILLAGE HALL","17-031-1016","AQS"
"01/23/1988","21","","WASHINGTON HS","17-031-0022","AQS"
"01/24/1988","24","","WASHINGTON HS","17-031-0022","AQS"
"01/25/1988","31","","WASHINGTON HS","17-031-0022","AQS"
"01/26/1988","42","","WASHINGTON HS","17-031-0022","AQS"
"01/27/1988","47","","WASHINGTON HS","17-031-0022","AQS"
"01/28/1988","53","","","17-031-6001","AQS"
"01/29/1988","34","","WASHINGTON HS","17-031-0022","AQS"
"01/30/1988","22","","PERSHING SCHOOL","17-197-1002","AQS"
"01/31/1988","39","","WASHINGTON HS","17-031-0022","AQS"
"02/01/1988","52","","","18-089-1016","AQS"
"02/02/1988","42","","","18-089-1016","AQS"
"02/03/1988","48","","","18-089-0004","AQS"
"02/04/1988","48","","WASHINGTON HS","17-031-0022","AQS"
"02/05/1988","43","","","18-089-0004","AQS"
"02/06/1988","36","","WASHINGTON HS","17-031-0022","AQS"
"02/07/1988","30","","WASHINGTON HS","17-031-0022","AQS"
"02/08/1988","40","","WASHINGTON HS","17-031-0022","AQS"
"02/09/1988","64","","","18-089-1019","AQS"
