"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1999","56","","","18-089-1016","AQS"
"01/02/1999","46","","","18-089-1016","AQS"
"01/03/1999","35","","","18-089-1016","AQS"
"01/05/1999","64","","","18-089-1016","AQS"
"01/06/1999","84","","WASHINGTON HS","17-031-0022","AQS"
"01/07/1999","86","","","18-089-1016","AQS"
"01/08/1999","68","","","18-089-1016","AQS"
"01/09/1999","74","","","18-089-1016","AQS"
"01/10/1999","57","","","18-089-1016","AQS"
"01/11/1999","62","","","18-089-1016","AQS"
"01/12/1999","91","","","18-089-1016","AQS"
"01/13/1999","83","","","18-089-1016","AQS"
"01/14/1999","68","","","18-089-1016","AQS"
"01/15/1999","78","","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS"
"01/16/1999","84","","","18-089-1016","AQS"
"01/17/1999","69","","","18-089-1016","AQS"
"01/18/1999","60","","FARR HALL","17-031-0014","AQS"
"01/19/1999","56","","","18-089-1016","AQS"
"01/20/1999","86","","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"01/21/1999","7","","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS"
"01/22/1999","31","","","18-089-1016","AQS"
"01/23/1999","43","","","18-089-1016","AQS"
"01/24/1999","85","","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS"
"01/26/1999","67","","","18-089-1016","AQS"
"01/27/1999","71","","","18-089-1016","AQS"
"01/28/1999","78","","","18-089-1016","AQS"
"01/29/1999","64","","","18-089-1016","AQS"
"01/30/1999","108","","EISENHOWER HS","17-031-2001","AQS"
"01/31/1999","94","","PROBE LOCATED ON NORTH EDGE OF UPPER ROOF, 96 FT FROM WEST EDGE","17-031-4006","AQS"
"02/01/1999","55","","","18-089-1016","AQS"
"02/02/1999","37","","","18-089-1016","AQS"
"02/03/1999","20","","","18-089-1016","AQS"
"02/04/1999","54","","","18-089-1016","AQS"
"02/05/1999","77","","VILLAGE HALL","17-031-1016","AQS"
"02/06/1999","75","","","18-089-1016","AQS"
"02/07/1999","102","","","18-089-1016","AQS"
"02/08/1999","84","","FARR HALL","17-031-0014","AQS"
"02/10/1999","42","","","18-089-1016","AQS"
"02/11/1999","83","","VILLAGE HALL","17-031-1016","AQS"
"02/12/1999","29","","","18-089-1016","AQS"
"02/13/1999","55","","","18-089-1016","AQS"
"02/14/1999","55","","CITY HALL","17-043-4002","AQS"
"02/15/1999","27","","","18-089-1016","AQS"
"02/17/1999","67","","MAYFAIR PUMP STATION","17-031-0052","AQS"
"02/18/1999","76","","","18-089-1016","AQS"
"02/19/1999","48","","","18-089-1016","AQS"
"02/20/1999","53","","","18-089-1016","AQS"
"02/21/1999","56","","","18-089-1016","AQS"
"02/22/1999","32","","","18-089-1016","AQS"
"02/23/1999","79","","","17-031-1701","AQS"
"02/24/1999","112","","MAYFAIR PUMP STATION","17-031-0052","AQS"
"02/25/1999","86","","","18-089-1016","AQS"
"02/26/1999","132","","VILLAGE HALL","17-031-1016","AQS"
"02/27/1999","95","","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS"
"02/28/1999","46","","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS"
"03/01/1999","52","","PERSHING SCHOOL","17-197-1002","AQS"
"03/02/1999","72","","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS"
"03/03/1999","38","","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS"
"03/04/1999","65","","EISENHOWER HS","17-031-2001","AQS"
"03/05/1999","57","","","18-089-1016","AQS"
"03/06/1999","66","","","18-089-1016","AQS"
"03/07/1999","64","","VILLAGE HALL","17-031-1016","AQS"
"03/08/1999","39","","","18-089-1016","AQS"
"03/09/1999","62","","","18-089-1016","AQS"
"03/10/1999","40","","","18-089-1016","AQS"
"03/11/1999","43","","","18-089-1016","AQS"
"03/12/1999","19","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/13/1999","56","","COM ED TRAINING CENTER","17-197-1011","AQS"
"03/14/1999","62","","","18-089-1016","AQS"
"03/15/1999","42","","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS"
"03/16/1999","68","","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"03/17/1999","41","","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS"
"03/18/1999","56","","","18-089-1016","AQS"
"03/19/1999","59","","PERSHING SCHOOL","17-197-1002","AQS"
"03/20/1999","61","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/21/1999","74","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/22/1999","48","","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS"
"03/23/1999","59","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/24/1999","44","","","18-089-1016","AQS"
"03/25/1999","57","","MAYFAIR PUMP STATION","17-031-0052","AQS"
"03/26/1999","46","","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"03/27/1999","79","","","18-089-1016","AQS"
"03/28/1999","90","","","18-089-1003","AQS"
"03/29/1999","68","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/31/1999","101","","VILLAGE HALL","17-031-1016","AQS"
"04/01/1999","78","","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS"
"04/02/1999","83","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"04/03/1999","67","","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS"
"04/04/1999","54","","","18-089-1016","AQS"
"04/05/1999","52","","","18-089-1016","AQS"
"04/06/1999","67","","PROBE LOCATED ON NORTH EDGE OF UPPER ROOF, 96 FT FROM WEST EDGE","17-031-4006","AQS"
"04/07/1999","45","","","18-089-1016","AQS"
"04/08/1999","77","","","18-089-1016","AQS"
"04/09/1999","63","","","18-089-1016","AQS"
"04/10/1999","39","","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS"
"04/11/1999","54","","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS"
"04/12/1999","55","","PERSHING SCHOOL","17-197-1002","AQS"
"04/13/1999","72","","","18-089-1016","AQS"
"04/14/1999","71","","","18-089-1016","AQS"
"04/15/1999","71","","VILLAGE HALL","17-031-1016","AQS"
"04/16/1999","49","","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS"
"04/17/1999","32","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"04/18/1999","78","","VILLAGE HALL","17-031-1016","AQS"
"04/19/1999","63","","","18-089-1016","AQS"
"04/20/1999","80","","MAYFAIR PUMP STATION","17-031-0052","AQS"
"04/21/1999","83","","","18-089-1016","AQS"
