"Date","Sulfur Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1985","103","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"01/02/1985","102","","","18-127-0012","AQS"
"01/03/1985","110","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"01/04/1985","120","","NIPSCO Dunes Acres","18-127-0011","AQS"
"01/05/1985","89","","FIRESTATION","17-031-1018","AQS"
"01/06/1985","69","","COOK COUNTY TRAILER","17-031-4002","AQS"
"01/07/1985","59","","","18-089-0014","AQS"
"01/08/1985","109","","FIRESTATION","17-031-1018","AQS"
"01/09/1985","71","","","55-059-1002","AQS"
"01/10/1985","106","","","18-089-0013","AQS"
"01/11/1985","114","","FIRESTATION","17-031-1018","AQS"
"01/12/1985","118","","","18-089-0014","AQS"
"01/13/1985","77","","","18-089-0013","AQS"
"01/14/1985","200","","FIRESTATION","17-031-1018","AQS"
"01/15/1985","110","","FIRESTATION","17-031-1018","AQS"
"01/16/1985","152","","","18-089-2006","AQS"
"01/17/1985","132","","FIRESTATION","17-031-1018","AQS"
"01/18/1985","155","","FIRESTATION","17-031-1018","AQS"
"01/19/1985","76","","","18-089-0014","AQS"
"01/20/1985","151","","","18-089-0014","AQS"
"01/21/1985","129","","","18-089-0014","AQS"
"01/22/1985","200","","FIRESTATION","17-031-1018","AQS"
"01/23/1985","155","","","18-089-0014","AQS"
"01/24/1985","113","","","18-089-0014","AQS"
"01/25/1985","149","","FIRESTATION","17-031-1018","AQS"
"01/26/1985","129","","FIRESTATION","17-031-1018","AQS"
"01/27/1985","111","","","18-089-0013","AQS"
"01/28/1985","117","","FIRESTATION","17-031-1018","AQS"
"01/29/1985","110","","","17-031-0037","AQS"
"01/30/1985","111","","","18-089-1016","AQS"
"01/31/1985","114","","FIRESTATION","17-031-1018","AQS"
"02/01/1985","200","","FIRESTATION","17-031-1018","AQS"
"02/02/1985","158","","","18-089-0014","AQS"
"02/03/1985","106","","","18-089-0014","AQS"
"02/04/1985","108","","","18-089-1016","AQS"
"02/05/1985","109","","","18-089-1016","AQS"
"02/06/1985","188","","","18-089-0014","AQS"
"02/07/1985","200","","FIRESTATION","17-031-1018","AQS"
"02/08/1985","108","","","18-089-0014","AQS"
"02/09/1985","120","","","18-089-2006","AQS"
"02/10/1985","200","","","18-089-2006","AQS"
"02/11/1985","150","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"02/12/1985","137","","","18-127-0012","AQS"
"02/13/1985","135","","FIRESTATION","17-031-1018","AQS"
"02/14/1985","148","","FIRESTATION","17-031-1018","AQS"
"02/15/1985","114","","FIRESTATION","17-031-1018","AQS"
"02/16/1985","122","","","18-089-0014","AQS"
"02/17/1985","141","","","18-089-0014","AQS"
"02/18/1985","96","","","17-031-0039","AQS"
"02/19/1985","64","","","17-031-0039","AQS"
"02/20/1985","128","","","17-031-1701","AQS"
"02/21/1985","82","","","55-059-1002","AQS"
"02/22/1985","95","","COOK COUNTY TRAILER","17-031-4002","AQS"
"02/23/1985","76","","COOK COUNTY TRAILER","17-031-4002","AQS"
"02/24/1985","123","","FIRESTATION","17-031-1018","AQS"
"02/25/1985","79","","SE POLICE STATION","17-031-0050","AQS"
"02/26/1985","119","","FIRESTATION","17-031-1018","AQS"
"02/27/1985","163","","FIRESTATION","17-031-1018","AQS"
"02/28/1985","100","","","17-197-0012","AQS"
"03/01/1985","115","","FIRESTATION","17-031-1018","AQS"
"03/02/1985","66","","","18-089-0014","AQS"
"03/03/1985","80","","","18-089-2006","AQS"
"03/04/1985","112","","","18-089-2006","AQS"
"03/05/1985","91","","","18-089-0014","AQS"
"03/06/1985","102","","","18-089-2006","AQS"
"03/07/1985","66","","","18-089-0014","AQS"
"03/08/1985","193","","NIPSCO Dunes Acres","18-127-0011","AQS"
"03/09/1985","146","","","18-089-0014","AQS"
"03/10/1985","91","","","17-197-0012","AQS"
"03/11/1985","133","","FIRESTATION","17-031-1018","AQS"
"03/12/1985","193","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"03/13/1985","96","","","17-031-0039","AQS"
"03/14/1985","184","","FIRESTATION","17-031-1018","AQS"
"03/15/1985","110","","","17-197-0012","AQS"
"03/16/1985","200","","FIRESTATION","17-031-1018","AQS"
"03/17/1985","124","","FIRESTATION","17-031-1018","AQS"
"03/18/1985","94","","","17-031-1701","AQS"
"03/19/1985","157","","FIRESTATION","17-031-1018","AQS"
"03/20/1985","134","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"03/21/1985","173","","FIRESTATION","17-031-1018","AQS"
"03/22/1985","200","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"03/23/1985","64","","COOK COUNTY TRAILER","17-031-1601","AQS"
"03/24/1985","174","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"03/25/1985","151","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"03/26/1985","75","","COOK COUNTY TRAILER","17-031-1601","AQS"
"03/27/1985","54","","","17-197-0012","AQS"
"03/28/1985","130","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"03/29/1985","145","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"03/30/1985","113","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"03/31/1985","59","","","18-089-2006","AQS"
"04/01/1985","131","","FIRESTATION","17-031-1018","AQS"
"04/02/1985","173","","","18-089-0014","AQS"
"04/03/1985","200","","FIRESTATION","17-031-1018","AQS"
"04/04/1985","121","","","18-089-2006","AQS"
"04/05/1985","162","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"04/06/1985","118","","","18-089-0014","AQS"
"04/07/1985","191","","","18-089-0014","AQS"
"04/08/1985","121","","FIRESTATION","17-031-1018","AQS"
"04/09/1985","133","","FIRESTATION","17-031-1018","AQS"
"04/10/1985","79","","","17-031-0054","AQS"
"04/11/1985","150","","COOK COUNTY TRAILER","17-031-1601","AQS"
"04/12/1985","111","","","17-031-1701","AQS"
"04/13/1985","89","","","17-031-1701","AQS"
"04/14/1985","96","","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/15/1985","161","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"04/16/1985","186","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"04/17/1985","137","","","18-089-2006","AQS"
"04/18/1985","134","","","18-127-0020","AQS"
"04/19/1985","101","","","17-197-0012","AQS"
"04/20/1985","87","","","18-127-0020","AQS"
"04/21/1985","69","","","18-127-0020","AQS"
"04/22/1985","120","","","17-031-1701","AQS"
"04/23/1985","96","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"04/24/1985","66","","","18-089-0014","AQS"
"04/25/1985","104","","","18-089-0014","AQS"
"04/26/1985","200","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"04/27/1985","176","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"04/28/1985","188","","","18-127-0018","AQS"
"04/29/1985","126","","","18-127-1002","AQS"
"04/30/1985","123","","","18-127-0013","AQS"
"05/01/1985","200","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"05/02/1985","199","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"05/03/1985","154","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"05/04/1985","96","","","17-031-0039","AQS"
"05/05/1985","119","","COOK COUNTY TRAILER","17-031-4002","AQS"
"05/06/1985","103","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"05/07/1985","152","","","18-089-0012","AQS"
"05/08/1985","126","","","18-089-0013","AQS"
"05/09/1985","134","","COOK COUNTY TRAILER","17-031-4002","AQS"
"05/10/1985","103","","COOK COUNTY TRAILER","17-031-4002","AQS"
"05/11/1985","74","","","18-089-2006","AQS"
"05/12/1985","95","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/13/1985","165","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"05/14/1985","155","","","18-089-2006","AQS"
"05/15/1985","80","","","18-089-2006","AQS"
"05/16/1985","114","","FIRESTATION","17-031-1018","AQS"
"05/17/1985","111","","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS"
"05/18/1985","172","","","18-089-0014","AQS"
"05/19/1985","82","","COOK COUNTY TRAILER","17-031-4002","AQS"
"05/20/1985","108","","","18-089-0013","AQS"
"05/21/1985","200","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
