"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1985","222","","","06-037-8001","AQS"
"01/02/1985","193","","Lynwood","06-037-1301","AQS"
"01/03/1985","128","","","06-037-8001","AQS"
"01/04/1985","150","","","06-037-8001","AQS"
"01/05/1985","120","","","06-037-8001","AQS"
"01/06/1985","69","","Lynwood","06-037-1301","AQS"
"01/07/1985","115","","","06-037-8001","AQS"
"01/08/1985","72","","Lynwood","06-037-1301","AQS"
"01/09/1985","84","","","06-037-8001","AQS"
"01/10/1985","165","","","06-037-8001","AQS"
"01/11/1985","186","","","06-037-8001","AQS"
"01/12/1985","186","","","06-037-8001","AQS"
"01/13/1985","142","","","06-037-8001","AQS"
"01/14/1985","109","","","06-037-8001","AQS"
"01/15/1985","140","","","06-037-8001","AQS"
"01/16/1985","103","","Burbank","06-037-1002","AQS"
"01/17/1985","153","","Lynwood","06-037-1301","AQS"
"01/18/1985","150","","","06-037-8001","AQS"
"01/19/1985","109","","Reseda","06-037-1201","AQS"
"01/20/1985","103","","Burbank","06-037-1002","AQS"
"01/21/1985","71","","","06-037-8001","AQS"
"01/22/1985","70","","","06-037-8001","AQS"
"01/23/1985","99","","","06-037-8001","AQS"
"01/24/1985","87","","","06-037-8001","AQS"
"01/25/1985","92","","","06-037-8001","AQS"
"01/26/1985","84","","","06-037-8001","AQS"
"01/27/1985","56","","","06-037-8001","AQS"
"01/28/1985","115","","","06-037-8001","AQS"
"01/29/1985","86","","","06-037-8001","AQS"
"01/30/1985","89","","","06-037-8001","AQS"
"01/31/1985","85","","","06-037-8001","AQS"
"02/01/1985","91","","","06-037-8001","AQS"
"02/02/1985","43","","","06-037-8001","AQS"
"02/03/1985","52","","","06-037-8001","AQS"
"02/04/1985","80","","","06-037-8001","AQS"
"02/05/1985","90","","","06-037-8001","AQS"
"02/06/1985","66","","Burbank","06-037-1002","AQS"
"02/07/1985","95","","","06-037-8001","AQS"
"02/08/1985","72","","","06-037-8001","AQS"
"02/09/1985","39","","La Habra","06-059-5001","AQS"
"02/10/1985","67","","Lynwood","06-037-1301","AQS"
"02/11/1985","71","","","06-037-8001","AQS"
"02/12/1985","99","","Costa Mesa","06-059-1002","AQS"
"02/13/1985","133","","","06-037-8001","AQS"
"02/14/1985","125","","","06-037-8001","AQS"
"02/15/1985","97","","Lynwood","06-037-1301","AQS"
"02/16/1985","159","","Lynwood","06-037-1301","AQS"
"02/17/1985","83","","Reseda","06-037-1201","AQS"
"02/18/1985","38","","La Habra","06-059-5001","AQS"
"02/19/1985","40","","La Habra","06-059-5001","AQS"
"02/20/1985","62","","","06-037-8001","AQS"
"02/21/1985","72","","","06-037-8001","AQS"
"02/22/1985","72","","Burbank","06-037-1002","AQS"
"02/23/1985","62","","","06-037-8001","AQS"
"02/24/1985","79","","Burbank","06-037-1002","AQS"
"02/25/1985","67","","Burbank","06-037-1002","AQS"
"02/26/1985","81","","Burbank","06-037-1002","AQS"
"02/27/1985","47","","","06-037-8001","AQS"
"02/28/1985","69","","","06-037-8001","AQS"
"03/01/1985","56","","","06-037-8001","AQS"
"03/02/1985","27","","","06-037-8001","AQS"
"03/03/1985","33","","","06-037-8001","AQS"
"03/04/1985","56","","","06-037-8001","AQS"
"03/05/1985","77","","","06-037-8001","AQS"
"03/06/1985","54","","","06-037-8001","AQS"
"03/07/1985","66","","","06-037-8001","AQS"
"03/08/1985","77","","","06-037-8001","AQS"
"03/09/1985","94","","","06-037-8001","AQS"
"03/10/1985","44","","Los Angeles-North Main Street","06-037-1103","AQS"
