"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1985","49","","Glendora","06-037-0016","AQS"
"01/02/1985","30","","Glendora","06-037-0016","AQS"
"01/03/1985","28","","Glendora","06-037-0016","AQS"
"01/04/1985","26","","Glendora","06-037-0016","AQS"
"01/05/1985","30","","Pasadena","06-037-2005","AQS"
"01/06/1985","20","","Costa Mesa","06-059-1002","AQS"
"01/07/1985","19","","Costa Mesa","06-059-1002","AQS"
"01/08/1985","29","","Lancaster-N. Beech St.","06-037-7001","AQS"
"01/09/1985","29","","West Los Angeles","06-037-0113","AQS"
"01/10/1985","26","","Glendora","06-037-0016","AQS"
"01/11/1985","28","","Reseda","06-037-1201","AQS"
"01/12/1985","37","","","06-037-0001","AQS"
"01/13/1985","37","","","06-037-0001","AQS"
"01/14/1985","32","","","06-037-0001","AQS"
"01/15/1985","40","","","06-037-0001","AQS"
"01/16/1985","37","","","06-037-0001","AQS"
"01/17/1985","43","","","06-037-0001","AQS"
"01/18/1985","44","","Glendora","06-037-0016","AQS"
"01/19/1985","43","","Glendora","06-037-0016","AQS"
"01/20/1985","41","","El Toro","06-059-2001","AQS"
"01/21/1985","67","","Lancaster-N. Beech St.","06-037-7001","AQS"
"01/22/1985","29","","El Toro","06-059-2001","AQS"
"01/23/1985","42","","","06-037-0001","AQS"
"01/24/1985","33","","Costa Mesa","06-059-1002","AQS"
"01/25/1985","31","","","06-037-0001","AQS"
"01/26/1985","58","","El Toro","06-059-2001","AQS"
"01/27/1985","38","","","06-037-0001","AQS"
"01/28/1985","26","","Lancaster-N. Beech St.","06-037-7001","AQS"
"01/29/1985","32","","Lancaster-N. Beech St.","06-037-7001","AQS"
"01/30/1985","32","","Glendora","06-037-0016","AQS"
"01/31/1985","29","","","06-037-0001","AQS"
"02/01/1985","32","","","06-037-0001","AQS"
"02/02/1985","31","","Pasadena","06-037-2005","AQS"
"02/03/1985","38","","","06-037-0001","AQS"
"02/04/1985","33","","","06-037-0001","AQS"
"02/05/1985","30","","Costa Mesa","06-059-1002","AQS"
"02/06/1985","47","","","06-037-0001","AQS"
"02/07/1985","87","","","06-037-0001","AQS"
"02/08/1985","31","","Lancaster-N. Beech St.","06-037-7001","AQS"
"02/09/1985","37","","","06-037-0001","AQS"
"02/10/1985","61","","Pasadena","06-037-2005","AQS"
"02/11/1985","39","","Pasadena","06-037-2005","AQS"
"02/12/1985","44","","","06-037-0001","AQS"
"02/13/1985","71","","Costa Mesa","06-059-1002","AQS"
"02/14/1985","48","","Pasadena","06-037-2005","AQS"
"02/15/1985","100","","Glendora","06-037-0016","AQS"
"02/16/1985","214","","Reseda","06-037-1201","AQS"
"02/17/1985","190","","","06-037-6002","AQS"
"02/18/1985","90","","","06-037-0001","AQS"
"02/19/1985","77","","","06-037-0001","AQS"
"02/20/1985","58","","El Toro","06-059-2001","AQS"
"02/21/1985","40","","","06-037-0001","AQS"
"02/22/1985","41","","","06-037-0001","AQS"
"02/23/1985","90","","Glendora","06-037-0016","AQS"
"02/24/1985","115","","","06-037-0001","AQS"
"02/25/1985","140","","","06-037-0001","AQS"
"02/26/1985","151","","Costa Mesa","06-059-1002","AQS"
"02/27/1985","119","","Glendora","06-037-0016","AQS"
"02/28/1985","74","","Glendora","06-037-0016","AQS"
"03/01/1985","74","","Lancaster-N. Beech St.","06-037-7001","AQS"
"03/02/1985","40","","El Toro","06-059-2001","AQS"
"03/03/1985","44","","El Toro","06-059-2001","AQS"
"03/04/1985","77","","","06-037-0001","AQS"
"03/05/1985","39","","","06-037-0001","AQS"
"03/06/1985","40","","","06-037-0001","AQS"
"03/07/1985","32","","Lancaster-N. Beech St.","06-037-7001","AQS"
"03/08/1985","39","","Lancaster-N. Beech St.","06-037-7001","AQS"
"03/09/1985","119","","Reseda","06-037-1201","AQS"
"03/10/1985","93","","Glendora","06-037-0016","AQS"
"03/11/1985","38","","Lancaster-N. Beech St.","06-037-7001","AQS"
"03/12/1985","42","","Glendora","06-037-0016","AQS"
"03/13/1985","93","","Glendora","06-037-0016","AQS"
"03/14/1985","51","","Reseda","06-037-1201","AQS"
"03/15/1985","77","","Reseda","06-037-1201","AQS"
"03/16/1985","122","","Glendora","06-037-0016","AQS"
"03/17/1985","207","","Glendora","06-037-0016","AQS"
"03/18/1985","37","","Lancaster-N. Beech St.","06-037-7001","AQS"
"03/19/1985","77","","Reseda","06-037-1201","AQS"
"03/20/1985","182","","Glendora","06-037-0016","AQS"
"03/21/1985","90","","El Toro","06-059-2001","AQS"
"03/22/1985","150","","Glendora","06-037-0016","AQS"
"03/23/1985","223","","Costa Mesa","06-059-1002","AQS"
"03/24/1985","237","","Glendora","06-037-0016","AQS"
"03/25/1985","77","","El Toro","06-059-2001","AQS"
"03/26/1985","71","","Reseda","06-037-1201","AQS"
"03/27/1985","37","","Lancaster-N. Beech St.","06-037-7001","AQS"
"03/28/1985","38","","Costa Mesa","06-059-1002","AQS"
"03/29/1985","39","","Pasadena","06-037-2005","AQS"
"03/30/1985","67","","Glendora","06-037-0016","AQS"
"03/31/1985","140","","","06-037-2401","AQS"
"04/01/1985","140","","Pasadena","06-037-2005","AQS"
"04/02/1985","161","","Reseda","06-037-1201","AQS"
"04/03/1985","244","","Reseda","06-037-1201","AQS"
"04/04/1985","207","","","06-037-6002","AQS"
"04/05/1985","164","","","06-037-6002","AQS"
"04/06/1985","179","","Glendora","06-037-0016","AQS"
"04/07/1985","277","","Glendora","06-037-0016","AQS"
"04/08/1985","253","","Glendora","06-037-0016","AQS"
"04/09/1985","242","","Glendora","06-037-0016","AQS"
"04/10/1985","227","","","06-037-6002","AQS"
"04/11/1985","238","","Glendora","06-037-0016","AQS"
"04/12/1985","292","","Pasadena","06-037-2005","AQS"
"04/13/1985","289","","El Toro","06-059-2001","AQS"
"04/14/1985","296","","Glendora","06-037-0016","AQS"
"04/15/1985","190","","Glendora","06-037-0016","AQS"
"04/16/1985","77","","Lancaster-N. Beech St.","06-037-7001","AQS"
"04/17/1985","39","","","06-037-0001","AQS"
"04/18/1985","44","","Lancaster-N. Beech St.","06-037-7001","AQS"
"04/19/1985","47","","West Los Angeles","06-037-0113","AQS"
"04/20/1985","51","","Reseda","06-037-1201","AQS"
"04/21/1985","46","","","06-037-0001","AQS"
"04/22/1985","54","","","06-037-0001","AQS"
"04/23/1985","203","","El Toro","06-059-2001","AQS"
"04/24/1985","219","","Glendora","06-037-0016","AQS"
"04/25/1985","74","","El Toro","06-059-2001","AQS"
"04/26/1985","61","","","06-037-0001","AQS"
"04/27/1985","105","","Costa Mesa","06-059-1002","AQS"
"04/28/1985","140","","","06-037-6002","AQS"
"04/29/1985","166","","Glendora","06-037-0016","AQS"
"04/30/1985","259","","Glendora","06-037-0016","AQS"
"05/01/1985","266","","Glendora","06-037-0016","AQS"
"05/02/1985","249","","Glendora","06-037-0016","AQS"
"05/03/1985","244","","","06-037-6002","AQS"
