"Date","Sulfur Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1985","56","","Lynwood","06-037-1301","AQS"
"01/02/1985","56","","Lynwood","06-037-1301","AQS"
"01/03/1985","81","","","06-037-8001","AQS"
"01/04/1985","56","","Lynwood","06-037-1301","AQS"
"01/05/1985","29","","Burbank","06-037-1002","AQS"
"01/06/1985","29","","","06-037-8001","AQS"
"01/07/1985","14","","Azusa","06-037-0002","AQS"
"01/08/1985","29","","Lynwood","06-037-1301","AQS"
"01/09/1985","29","","West Los Angeles","06-037-0113","AQS"
"01/10/1985","43","","Lynwood","06-037-1301","AQS"
"01/11/1985","56","","Lynwood","06-037-1301","AQS"
"01/12/1985","81","","","06-037-8001","AQS"
"01/13/1985","56","","","06-037-8001","AQS"
"01/14/1985","56","","Lynwood","06-037-1301","AQS"
"01/15/1985","56","","Lynwood","06-037-1301","AQS"
"01/16/1985","29","","Azusa","06-037-0002","AQS"
"01/17/1985","56","","Lynwood","06-037-1301","AQS"
"01/18/1985","56","","Lynwood","06-037-1301","AQS"
"01/19/1985","29","","Reseda","06-037-1201","AQS"
"01/20/1985","29","","Burbank","06-037-1002","AQS"
"01/21/1985","29","","Reseda","06-037-1201","AQS"
"01/22/1985","43","","Lynwood","06-037-1301","AQS"
"01/23/1985","29","","Burbank","06-037-1002","AQS"
"01/24/1985","43","","","06-037-8001","AQS"
"01/25/1985","29","","Burbank","06-037-1002","AQS"
"01/26/1985","29","","Burbank","06-037-1002","AQS"
"01/27/1985","14","","West Los Angeles","06-037-0113","AQS"
"01/28/1985","29","","Burbank","06-037-1002","AQS"
"01/29/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/30/1985","43","","Lynwood","06-037-1301","AQS"
"01/31/1985","43","","Lynwood","06-037-1301","AQS"
"02/01/1985","43","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/02/1985","29","","Long Beach (North)","06-037-4002","AQS"
"02/03/1985","14","","Azusa","06-037-0002","AQS"
"02/04/1985","29","","Burbank","06-037-1002","AQS"
"02/05/1985","43","","","06-037-8001","AQS"
"02/06/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/07/1985","29","","West Los Angeles","06-037-0113","AQS"
"02/08/1985","29","","Lynwood","06-037-1301","AQS"
"02/09/1985","14","","Azusa","06-037-0002","AQS"
"02/10/1985","43","","Long Beach (North)","06-037-4002","AQS"
"02/11/1985","43","","Burbank","06-037-1002","AQS"
"02/12/1985","43","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/13/1985","69","","Long Beach (North)","06-037-4002","AQS"
"02/14/1985","43","","Burbank","06-037-1002","AQS"
"02/15/1985","43","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/16/1985","56","","","06-037-8001","AQS"
"02/17/1985","29","","","06-037-8001","AQS"
"02/18/1985","29","","","06-037-2401","AQS"
"02/19/1985","14","","Azusa","06-037-0002","AQS"
"02/20/1985","14","","West Los Angeles","06-037-0113","AQS"
"02/21/1985","43","","","06-037-8001","AQS"
"02/22/1985","29","","Burbank","06-037-1002","AQS"
"02/23/1985","29","","Long Beach (North)","06-037-4002","AQS"
"02/24/1985","29","","","06-037-8001","AQS"
"02/25/1985","43","","Long Beach (North)","06-037-4002","AQS"
"02/26/1985","43","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/27/1985","29","","","06-037-8001","AQS"
"02/28/1985","43","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"03/01/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/02/1985","14","","Burbank","06-037-1002","AQS"
"03/03/1985","14","","Burbank","06-037-1002","AQS"
"03/04/1985","29","","Lynwood","06-037-1301","AQS"
"03/05/1985","29","","Burbank","06-037-1002","AQS"
"03/06/1985","14","","West Los Angeles","06-037-0113","AQS"
"03/07/1985","14","","Burbank","06-037-1002","AQS"
"03/08/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/09/1985","43","","Lynwood","06-037-1301","AQS"
"03/10/1985","29","","","06-037-2401","AQS"
"03/11/1985","14","","West Los Angeles","06-037-0113","AQS"
"03/12/1985","29","","Long Beach (North)","06-037-4002","AQS"
"03/13/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/14/1985","14","","Azusa","06-037-0002","AQS"
"03/15/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/16/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/17/1985","29","","Long Beach (North)","06-037-4002","AQS"
"03/18/1985","29","","","06-037-8001","AQS"
"03/19/1985","29","","","06-037-8001","AQS"
"03/20/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/21/1985","14","","West Los Angeles","06-037-0113","AQS"
"03/22/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/23/1985","43","","Costa Mesa","06-059-1002","AQS"
"03/24/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/25/1985","14","","West Los Angeles","06-037-0113","AQS"
"03/26/1985","14","","West Los Angeles","06-037-0113","AQS"
"03/27/1985","14","","Burbank","06-037-1002","AQS"
"03/28/1985","14","","","06-037-1601","AQS"
"03/29/1985","29","","","06-037-2401","AQS"
"03/30/1985","29","","","06-037-8001","AQS"
"03/31/1985","43","","Costa Mesa","06-059-1002","AQS"
"04/01/1985","56","","","06-037-8001","AQS"
"04/02/1985","43","","Long Beach (North)","06-037-4002","AQS"
"04/03/1985","43","","Long Beach (North)","06-037-4002","AQS"
"04/04/1985","14","","Azusa","06-037-0002","AQS"
"04/05/1985","29","","Lynwood","06-037-1301","AQS"
"04/06/1985","14","","Lynwood","06-037-1301","AQS"
"04/07/1985","81","","Long Beach (North)","06-037-4002","AQS"
"04/08/1985","56","","Long Beach (North)","06-037-4002","AQS"
"04/09/1985","56","","Long Beach (North)","06-037-4002","AQS"
"04/10/1985","29","","Long Beach (North)","06-037-4002","AQS"
"04/11/1985","43","","Long Beach (North)","06-037-4002","AQS"
"04/12/1985","56","","Long Beach (North)","06-037-4002","AQS"
"04/13/1985","56","","Long Beach (North)","06-037-4002","AQS"
"04/14/1985","43","","Lynwood","06-037-1301","AQS"
"04/15/1985","43","","Long Beach (North)","06-037-4002","AQS"
"04/16/1985","29","","Lynwood","06-037-1301","AQS"
"04/17/1985","14","","Lynwood","06-037-1301","AQS"
"04/18/1985","29","","Lynwood","06-037-1301","AQS"
"04/19/1985","29","","","06-037-8001","AQS"
"04/20/1985","29","","","06-037-8001","AQS"
"04/21/1985","29","","Long Beach (North)","06-037-4002","AQS"
"04/22/1985","14","","Azusa","06-037-0002","AQS"
"04/23/1985","29","","Long Beach (North)","06-037-4002","AQS"
"04/24/1985","43","","La Habra","06-059-5001","AQS"
"04/25/1985","14","","Azusa","06-037-0002","AQS"
"04/26/1985","29","","Long Beach (North)","06-037-4002","AQS"
"04/27/1985","29","","","06-037-1601","AQS"
"04/28/1985","14","","Azusa","06-037-0002","AQS"
"04/29/1985","56","","Long Beach (North)","06-037-4002","AQS"
"04/30/1985","56","","Long Beach (North)","06-037-4002","AQS"
"05/01/1985","43","","Long Beach (North)","06-037-4002","AQS"
"05/02/1985","29","","Lynwood","06-037-1301","AQS"
"05/03/1985","29","","Lynwood","06-037-1301","AQS"
"05/04/1985","14","","Azusa","06-037-0002","AQS"
"05/05/1985","14","","Azusa","06-037-0002","AQS"
"05/06/1985","14","","Azusa","06-037-0002","AQS"
"05/07/1985","14","","West Los Angeles","06-037-0113","AQS"
"05/08/1985","14","","Azusa","06-037-0002","AQS"
"05/09/1985","29","","La Habra","06-059-5001","AQS"
"05/10/1985","14","","Azusa","06-037-0002","AQS"
"05/11/1985","14","","West Los Angeles","06-037-0113","AQS"
"05/12/1985","14","","West Los Angeles","06-037-0113","AQS"
"05/13/1985","29","","West Los Angeles","06-037-0113","AQS"
"05/14/1985","56","","Long Beach (North)","06-037-4002","AQS"
"05/15/1985","29","","","06-037-8001","AQS"
"05/16/1985","14","","Burbank","06-037-1002","AQS"
"05/17/1985","14","","West Los Angeles","06-037-0113","AQS"
"05/18/1985","29","","West Los Angeles","06-037-0113","AQS"
"05/19/1985","14","","Lynwood","06-037-1301","AQS"
"05/20/1985","14","","Burbank","06-037-1002","AQS"
"05/21/1985","14","","Burbank","06-037-1002","AQS"
"05/22/1985","43","","Long Beach (North)","06-037-4002","AQS"
"05/23/1985","43","","Long Beach (North)","06-037-4002","AQS"
"05/24/1985","29","","Lynwood","06-037-1301","AQS"
"05/25/1985","14","","Lynwood","06-037-1301","AQS"
"05/26/1985","14","","Lynwood","06-037-1301","AQS"
"05/27/1985","29","","","06-037-8001","AQS"
"05/28/1985","29","","","06-037-1601","AQS"
"05/29/1985","29","","Lynwood","06-037-1301","AQS"
"05/30/1985","43","","Lynwood","06-037-1301","AQS"
"05/31/1985","29","","Lynwood","06-037-1301","AQS"
"06/01/1985","14","","West Los Angeles","06-037-0113","AQS"
"06/02/1985","29","","Lynwood","06-037-1301","AQS"
"06/03/1985","14","","Azusa","06-037-0002","AQS"
"06/04/1985","29","","Lynwood","06-037-1301","AQS"
"06/05/1985","43","","Lynwood","06-037-1301","AQS"
"06/06/1985","56","","Long Beach (North)","06-037-4002","AQS"
"06/07/1985","43","","Lynwood","06-037-1301","AQS"
"06/08/1985","43","","Long Beach (North)","06-037-4002","AQS"
"06/09/1985","29","","Lynwood","06-037-1301","AQS"
"06/10/1985","43","","Lynwood","06-037-1301","AQS"
"06/11/1985","14","","West Los Angeles","06-037-0113","AQS"
"06/12/1985","29","","Long Beach (North)","06-037-4002","AQS"
"06/13/1985","29","","Long Beach (North)","06-037-4002","AQS"
"06/14/1985","14","","Azusa","06-037-0002","AQS"
"06/15/1985","29","","Lynwood","06-037-1301","AQS"
"06/16/1985","43","","Lynwood","06-037-1301","AQS"
"06/17/1985","29","","Lynwood","06-037-1301","AQS"
"06/18/1985","29","","","06-037-2401","AQS"
"06/19/1985","29","","","06-037-1601","AQS"
"06/20/1985","29","","","06-037-1601","AQS"
"06/21/1985","29","","","06-037-1601","AQS"
"06/22/1985","14","","West Los Angeles","06-037-0113","AQS"
"06/23/1985","14","","Lynwood","06-037-1301","AQS"
"06/24/1985","14","","Lynwood","06-037-1301","AQS"
"06/25/1985","29","","Long Beach (North)","06-037-4002","AQS"
"06/26/1985","69","","Long Beach (North)","06-037-4002","AQS"
"06/27/1985","56","","Long Beach (North)","06-037-4002","AQS"
"06/28/1985","56","","Long Beach (North)","06-037-4002","AQS"
"06/29/1985","43","","Long Beach (North)","06-037-4002","AQS"
"06/30/1985","43","","Long Beach (North)","06-037-4002","AQS"
"07/01/1985","43","","Lynwood","06-037-1301","AQS"
"07/02/1985","56","","Lynwood","06-037-1301","AQS"
"07/03/1985","29","","Burbank","06-037-1002","AQS"
"07/04/1985","29","","Burbank","06-037-1002","AQS"
"07/05/1985","29","","Lynwood","06-037-1301","AQS"
"07/06/1985","14","","West Los Angeles","06-037-0113","AQS"
"07/07/1985","29","","Long Beach (North)","06-037-4002","AQS"
"07/08/1985","29","","","06-037-2401","AQS"
"07/09/1985","29","","","06-037-8001","AQS"
"07/10/1985","43","","","06-037-8001","AQS"
"07/11/1985","56","","Long Beach (North)","06-037-4002","AQS"
"07/12/1985","56","","Long Beach (North)","06-037-4002","AQS"
"07/13/1985","29","","Long Beach (North)","06-037-4002","AQS"
"07/14/1985","29","","Long Beach (North)","06-037-4002","AQS"
"07/15/1985","43","","Lynwood","06-037-1301","AQS"
"07/16/1985","29","","West Los Angeles","06-037-0113","AQS"
"07/17/1985","29","","Long Beach (North)","06-037-4002","AQS"
"07/18/1985","29","","Lynwood","06-037-1301","AQS"
"07/19/1985","29","","Long Beach (North)","06-037-4002","AQS"
"07/20/1985","43","","Lynwood","06-037-1301","AQS"
"07/21/1985","29","","Long Beach (North)","06-037-4002","AQS"
"07/22/1985","43","","Lynwood","06-037-1301","AQS"
"07/23/1985","29","","Long Beach (North)","06-037-4002","AQS"
"07/24/1985","14","","Burbank","06-037-1002","AQS"
"07/25/1985","14","","Azusa","06-037-0002","AQS"
"07/26/1985","43","","Long Beach (North)","06-037-4002","AQS"
"07/27/1985","69","","Long Beach (North)","06-037-4002","AQS"
"07/28/1985","29","","Lynwood","06-037-1301","AQS"
"07/29/1985","14","","Azusa","06-037-0002","AQS"
"07/30/1985","14","","Azusa","06-037-0002","AQS"
"07/31/1985","29","","Long Beach (North)","06-037-4002","AQS"
"08/01/1985","29","","","06-037-8001","AQS"
"08/02/1985","29","","West Los Angeles","06-037-0113","AQS"
"08/03/1985","43","","Long Beach (North)","06-037-4002","AQS"
"08/04/1985","94","","Long Beach (North)","06-037-4002","AQS"
"08/05/1985","43","","Long Beach (North)","06-037-4002","AQS"
"08/06/1985","43","","Long Beach (North)","06-037-4002","AQS"
"08/07/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/08/1985","29","","Lynwood","06-037-1301","AQS"
"08/09/1985","29","","Long Beach (North)","06-037-4002","AQS"
"08/10/1985","14","","West Los Angeles","06-037-0113","AQS"
"08/11/1985","14","","Burbank","06-037-1002","AQS"
"08/12/1985","14","","West Los Angeles","06-037-0113","AQS"
"08/13/1985","14","","West Los Angeles","06-037-0113","AQS"
"08/14/1985","29","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/15/1985","29","","West Los Angeles","06-037-0113","AQS"
"08/16/1985","29","","","06-037-8001","AQS"
"08/17/1985","14","","Burbank","06-037-1002","AQS"
"08/18/1985","29","","Long Beach (North)","06-037-4002","AQS"
"08/19/1985","43","","","06-037-8001","AQS"
"08/20/1985","43","","","06-037-8001","AQS"
"08/21/1985","43","","Long Beach (North)","06-037-4002","AQS"
"08/22/1985","56","","Long Beach (North)","06-037-4002","AQS"
