"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1985","65","","CANAL STREET","36-061-0062","AQS"
"01/02/1985","82","","","36-061-0058","AQS"
"01/03/1985","64","","MORRISTOWN","34-027-0003","AQS"
"01/04/1985","100","","BROOKLYN TRANSIT","36-047-0071","AQS"
"01/05/1985","98","","BROOKLYN TRANSIT","36-047-0071","AQS"
"01/06/1985","64","","Elizabeth","34-039-0003","AQS"
"01/07/1985","108","","Elizabeth","34-039-0003","AQS"
"01/08/1985","68","","","36-061-0058","AQS"
"01/09/1985","72","","CANAL STREET","36-061-0062","AQS"
"01/10/1985","91","","","36-061-0082","AQS"
"01/11/1985","85","","BROOKLYN TRANSIT","36-047-0071","AQS"
"01/12/1985","56","","CANAL STREET","36-061-0062","AQS"
"01/13/1985","96","","","36-061-0082","AQS"
"01/14/1985","89","","","36-061-0082","AQS"
"01/15/1985","82","","","36-061-0082","AQS"
"01/16/1985","98","","","36-061-0082","AQS"
"01/17/1985","75","","","36-061-0082","AQS"
"01/18/1985","97","","","36-061-0082","AQS"
"01/19/1985","97","","","36-061-0082","AQS"
"01/20/1985","78","","","36-061-0082","AQS"
"01/21/1985","97","","","36-061-0082","AQS"
"01/22/1985","125","","","36-061-0082","AQS"
"01/23/1985","121","","","36-061-0082","AQS"
"01/24/1985","113","","","36-061-0082","AQS"
"01/25/1985","104","","","36-061-0082","AQS"
"01/26/1985","79","","","36-061-0082","AQS"
"01/27/1985","125","","","36-061-0082","AQS"
"01/28/1985","100","","","36-061-0082","AQS"
"01/29/1985","89","","","36-061-0082","AQS"
"01/30/1985","98","","","36-061-0082","AQS"
"01/31/1985","108","","BROOKLYN TRANSIT","36-047-0071","AQS"
"02/01/1985","158","","BROOKLYN TRANSIT","36-047-0071","AQS"
"02/02/1985","109","","BROOKLYN TRANSIT","36-047-0071","AQS"
"02/03/1985","82","","","36-061-0082","AQS"
"02/04/1985","88","","","36-061-0082","AQS"
"02/05/1985","99","","BROOKLYN TRANSIT","36-047-0071","AQS"
"02/06/1985","93","","BROOKLYN TRANSIT","36-047-0071","AQS"
"02/07/1985","103","","","36-061-0082","AQS"
"02/08/1985","93","","","36-061-0082","AQS"
"02/09/1985","70","","","36-061-0082","AQS"
"02/10/1985","73","","","36-061-0082","AQS"
"02/11/1985","100","","BROOKLYN TRANSIT","36-047-0071","AQS"
"02/12/1985","90","","","36-061-0082","AQS"
"02/13/1985","65","","Jersey City","34-017-1002","AQS"
"02/14/1985","70","","Jersey City","34-017-1002","AQS"
"02/15/1985","89","","","36-061-0082","AQS"
"02/16/1985","84","","","36-061-0082","AQS"
"02/17/1985","83","","CANAL STREET","36-061-0062","AQS"
"02/18/1985","88","","","36-061-0082","AQS"
"02/19/1985","115","","","36-061-0082","AQS"
"02/20/1985","93","","CANAL STREET","36-061-0062","AQS"
"02/21/1985","92","","EISENHOWER PARK","36-059-0005","AQS"
"02/22/1985","138","","","36-061-0082","AQS"
"02/23/1985","133","","","36-061-0082","AQS"
"02/24/1985","215","","","36-061-0082","AQS"
"02/25/1985","192","","","36-061-0082","AQS"
"02/26/1985","128","","BROOKLYN TRANSIT","36-047-0071","AQS"
"02/27/1985","88","","BROOKLYN TRANSIT","36-047-0071","AQS"
"02/28/1985","73","","Jersey City","34-017-1002","AQS"
"03/01/1985","82","","","36-061-0082","AQS"
"03/02/1985","77","","","36-061-0082","AQS"
"03/03/1985","90","","","36-061-0082","AQS"
"03/04/1985","113","","","36-061-0082","AQS"
"03/05/1985","85","","","36-061-0082","AQS"
"03/06/1985","74","","BROOKLYN TRANSIT","36-047-0071","AQS"
"03/07/1985","64","","","36-061-0082","AQS"
"03/08/1985","79","","Jersey City","34-017-1002","AQS"
"03/09/1985","93","","","36-061-0082","AQS"
"03/10/1985","91","","","36-061-0082","AQS"
"03/11/1985","101","","Elizabeth","34-039-0003","AQS"
"03/12/1985","100","","","36-061-0082","AQS"
"03/13/1985","88","","","36-061-0082","AQS"
"03/14/1985","50","","CANAL STREET","36-061-0062","AQS"
"03/15/1985","79","","","36-061-0082","AQS"
"03/16/1985","62","","Jersey City","34-017-1002","AQS"
"03/17/1985","72","","","36-061-0082","AQS"
"03/18/1985","85","","","36-061-0082","AQS"
"03/19/1985","73","","","36-061-0082","AQS"
"03/20/1985","98","","","36-061-0082","AQS"
"03/21/1985","76","","","36-061-0082","AQS"
"03/22/1985","84","","BROOKLYN TRANSIT","36-047-0071","AQS"
"03/23/1985","94","","BROOKLYN TRANSIT","36-047-0071","AQS"
"03/24/1985","95","","BROOKLYN TRANSIT","36-047-0071","AQS"
"03/25/1985","76","","","36-061-0082","AQS"
"03/26/1985","86","","","36-061-0082","AQS"
"03/27/1985","176","","","36-061-0082","AQS"
"03/28/1985","205","","","36-061-0082","AQS"
"03/29/1985","197","","","36-061-0082","AQS"
"03/30/1985","178","","","36-061-0082","AQS"
"03/31/1985","66","","Elizabeth","34-039-0003","AQS"
"04/01/1985","67","","BROOKLYN TRANSIT","36-047-0071","AQS"
"04/02/1985","62","","","36-061-0058","AQS"
"04/03/1985","92","","CANAL STREET","36-061-0062","AQS"
"04/04/1985","100","","","36-061-0082","AQS"
"04/05/1985","93","","","36-061-0082","AQS"
"04/06/1985","78","","","36-061-0082","AQS"
"04/07/1985","77","","","36-061-0082","AQS"
"04/08/1985","85","","","36-061-0082","AQS"
"04/09/1985","85","","","36-061-0082","AQS"
"04/10/1985","82","","","36-061-0082","AQS"
"04/11/1985","115","","","36-061-0082","AQS"
"04/12/1985","94","","","36-061-0082","AQS"
"04/13/1985","100","","BROOKLYN TRANSIT","36-047-0071","AQS"
"04/14/1985","98","","BROOKLYN TRANSIT","36-047-0071","AQS"
"04/15/1985","170","","BROOKLYN TRANSIT","36-047-0071","AQS"
"04/16/1985","92","","BROOKLYN TRANSIT","36-047-0071","AQS"
"04/17/1985","53","","BROOKLYN TRANSIT","36-047-0071","AQS"
"04/18/1985","72","","","36-061-0082","AQS"
"04/19/1985","151","","","36-061-0082","AQS"
"04/20/1985","159","","","36-061-0082","AQS"
"04/21/1985","86","","","36-061-0082","AQS"
"04/22/1985","133","","","36-061-0082","AQS"
"04/23/1985","104","","","36-061-0082","AQS"
"04/24/1985","86","","","36-061-0082","AQS"
"04/25/1985","97","","BROOKLYN TRANSIT","36-047-0071","AQS"
"04/26/1985","115","","","36-061-0082","AQS"
"04/27/1985","95","","BROOKLYN TRANSIT","36-047-0071","AQS"
"04/28/1985","79","","","36-061-0082","AQS"
"04/29/1985","89","","BROOKLYN TRANSIT","36-047-0071","AQS"
"04/30/1985","201","","","36-061-0082","AQS"
"05/01/1985","205","","","36-061-0082","AQS"
"05/02/1985","94","","BROOKLYN TRANSIT","36-047-0071","AQS"
"05/03/1985","88","","","36-061-0082","AQS"
"05/04/1985","106","","","36-061-0082","AQS"
"05/05/1985","86","","","36-061-0082","AQS"
"05/06/1985","99","","","36-061-0082","AQS"
"05/07/1985","84","","","36-061-0058","AQS"
"05/08/1985","86","","","36-061-0082","AQS"
"05/09/1985","91","","","36-061-0082","AQS"
"05/10/1985","93","","","36-061-0082","AQS"
"05/11/1985","95","","","36-061-0082","AQS"
"05/12/1985","96","","","36-061-0082","AQS"
"05/13/1985","77","","Jersey City","34-017-1002","AQS"
"05/14/1985","79","","BROOKLYN TRANSIT","36-047-0071","AQS"
"05/15/1985","89","","","36-061-0082","AQS"
"05/16/1985","87","","","36-061-0082","AQS"
"05/17/1985","113","","BROOKLYN TRANSIT","36-047-0071","AQS"
"05/18/1985","88","","","36-061-0082","AQS"
"05/19/1985","80","","","36-061-0082","AQS"
"05/20/1985","90","","","36-061-0082","AQS"
"05/21/1985","60","","Jersey City","34-017-1002","AQS"
"05/22/1985","106","","","36-061-0082","AQS"
"05/23/1985","118","","","36-061-0082","AQS"
"05/24/1985","100","","BROOKLYN TRANSIT","36-047-0071","AQS"
"05/25/1985","99","","","36-061-0082","AQS"
"05/26/1985","78","","","36-061-0082","AQS"
"05/27/1985","74","","","36-061-0082","AQS"
"05/28/1985","116","","","36-061-0082","AQS"
"05/29/1985","111","","","36-061-0082","AQS"
"05/30/1985","100","","","36-061-0082","AQS"
"05/31/1985","97","","","36-061-0082","AQS"
"06/01/1985","84","","","36-061-0082","AQS"
"06/02/1985","83","","BROOKLYN TRANSIT","36-047-0071","AQS"
"06/03/1985","111","","","36-061-0082","AQS"
"06/04/1985","104","","","36-061-0082","AQS"
"06/05/1985","156","","BROOKLYN TRANSIT","36-047-0071","AQS"
"06/06/1985","108","","","36-061-0082","AQS"
"06/07/1985","86","","BROOKLYN TRANSIT","36-047-0071","AQS"
"06/08/1985","94","","","36-061-0082","AQS"
"06/09/1985","97","","","36-061-0082","AQS"
"06/10/1985","123","","","36-061-0082","AQS"
"06/11/1985","163","","","36-061-0082","AQS"
"06/12/1985","165","","","36-061-0082","AQS"
"06/13/1985","96","","","36-061-0082","AQS"
"06/14/1985","97","","","36-061-0082","AQS"
"06/15/1985","101","","","36-061-0082","AQS"
"06/16/1985","80","","CANAL STREET","36-061-0062","AQS"
"06/17/1985","108","","","36-061-0082","AQS"
"06/18/1985","128","","","36-061-0082","AQS"
"06/19/1985","96","","","36-061-0082","AQS"
"06/20/1985","91","","","36-061-0082","AQS"
"06/21/1985","90","","","36-061-0082","AQS"
"06/22/1985","94","","","36-061-0082","AQS"
"06/23/1985","82","","","36-061-0082","AQS"
"06/24/1985","133","","","36-061-0082","AQS"
"06/25/1985","108","","","36-061-0082","AQS"
"06/26/1985","99","","","36-061-0082","AQS"
"06/27/1985","98","","","36-061-0058","AQS"
"06/28/1985","120","","","36-061-0082","AQS"
"06/29/1985","104","","","36-061-0082","AQS"
"06/30/1985","99","","","36-061-0082","AQS"
"07/01/1985","96","","","36-061-0082","AQS"
"07/02/1985","91","","","36-061-0082","AQS"
"07/03/1985","108","","","36-061-0082","AQS"
"07/04/1985","92","","CANAL STREET","36-061-0062","AQS"
"07/05/1985","82","","Jersey City","34-017-1002","AQS"
