"Date","Nitrogen Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1985","61","","Elizabeth Lab","34-039-0004","AQS"
"01/02/1985","78","","","36-005-0074","AQS"
"01/03/1985","50","","Elizabeth Lab","34-039-0004","AQS"
"01/04/1985","105","","","34-013-0011","AQS"
"01/05/1985","52","","","34-013-0011","AQS"
"01/06/1985","109","","","36-005-0074","AQS"
"01/07/1985","109","","","34-013-0011","AQS"
"01/08/1985","43","","","34-013-0011","AQS"
"01/09/1985","33","","","34-013-0011","AQS"
"01/10/1985","65","","EISENHOWER PARK","36-059-0005","AQS"
"01/11/1985","42","","East Orange","34-013-1003","AQS"
"01/12/1985","38","","EISENHOWER PARK","36-059-0005","AQS"
"01/13/1985","50","","","34-013-0011","AQS"
"01/14/1985","65","","EISENHOWER PARK","36-059-0005","AQS"
"01/15/1985","39","","Elizabeth Lab","34-039-0004","AQS"
"01/16/1985","50","","","34-013-0011","AQS"
"01/17/1985","86","","","34-013-0011","AQS"
"01/18/1985","91","","","34-013-0011","AQS"
"01/19/1985","83","","","34-013-0011","AQS"
"01/20/1985","36","","","34-013-0011","AQS"
"01/21/1985","39","","Elizabeth Lab","34-039-0004","AQS"
"01/22/1985","45","","Elizabeth Lab","34-039-0004","AQS"
"01/23/1985","62","","Elizabeth Lab","34-039-0004","AQS"
"01/24/1985","80","","Elizabeth Lab","34-039-0004","AQS"
"01/25/1985","101","","Elizabeth Lab","34-039-0004","AQS"
"01/26/1985","56","","","34-013-0011","AQS"
"01/27/1985","105","","","36-005-0074","AQS"
"01/28/1985","76","","","34-013-0011","AQS"
"01/29/1985","52","","Elizabeth Lab","34-039-0004","AQS"
"01/30/1985","102","","EISENHOWER PARK","36-059-0005","AQS"
"01/31/1985","89","","","34-013-0011","AQS"
"02/01/1985","68","","Elizabeth Lab","34-039-0004","AQS"
"02/02/1985","42","","","36-061-0010","AQS"
"02/03/1985","46","","EISENHOWER PARK","36-059-0005","AQS"
"02/04/1985","101","","EISENHOWER PARK","36-059-0005","AQS"
"02/05/1985","102","","Elizabeth Lab","34-039-0004","AQS"
"02/06/1985","66","","Elizabeth Lab","34-039-0004","AQS"
"02/07/1985","53","","","36-061-0010","AQS"
"02/08/1985","41","","","36-061-0010","AQS"
"02/09/1985","38","","","36-061-0010","AQS"
"02/10/1985","48","","","36-061-0010","AQS"
"02/11/1985","103","","Chester","34-027-3001","AQS"
"02/12/1985","58","","Elizabeth Lab","34-039-0004","AQS"
"02/13/1985","60","","Elizabeth Lab","34-039-0004","AQS"
"02/14/1985","82","","","34-003-0001","AQS"
"02/15/1985","63","","","34-003-0001","AQS"
"02/16/1985","51","","Elizabeth Lab","34-039-0004","AQS"
"02/17/1985","47","","","36-061-0010","AQS"
"02/18/1985","57","","","34-013-0011","AQS"
"02/19/1985","66","","Elizabeth Lab","34-039-0004","AQS"
"02/20/1985","106","","EISENHOWER PARK","36-059-0005","AQS"
"02/21/1985","107","","EISENHOWER PARK","36-059-0005","AQS"
"02/22/1985","88","","Elizabeth Lab","34-039-0004","AQS"
"02/23/1985","91","","Elizabeth Lab","34-039-0004","AQS"
"02/24/1985","78","","Elizabeth Lab","34-039-0004","AQS"
"02/25/1985","61","","","34-003-0001","AQS"
"02/26/1985","85","","Elizabeth Lab","34-039-0004","AQS"
"02/27/1985","101","","","34-003-0001","AQS"
"02/28/1985","91","","Elizabeth Lab","34-039-0004","AQS"
"03/01/1985","96","","Elizabeth Lab","34-039-0004","AQS"
"03/02/1985","102","","Elizabeth Lab","34-039-0004","AQS"
"03/03/1985","46","","Elizabeth Lab","34-039-0004","AQS"
"03/04/1985","101","","","36-005-0074","AQS"
"03/05/1985","89","","Elizabeth Lab","34-039-0004","AQS"
"03/06/1985","44","","","34-013-0011","AQS"
"03/07/1985","67","","Elizabeth Lab","34-039-0004","AQS"
"03/08/1985","89","","Elizabeth Lab","34-039-0004","AQS"
"03/09/1985","103","","","34-003-0001","AQS"
"03/10/1985","80","","Elizabeth Lab","34-039-0004","AQS"
"03/11/1985","113","","East Orange","34-013-1003","AQS"
"03/12/1985","105","","","34-013-0011","AQS"
"03/13/1985","66","","","34-013-0011","AQS"
"03/14/1985","47","","","34-003-0001","AQS"
"03/15/1985","49","","EISENHOWER PARK","36-059-0005","AQS"
"03/16/1985","78","","Elizabeth Lab","34-039-0004","AQS"
"03/17/1985","67","","Elizabeth Lab","34-039-0004","AQS"
"03/18/1985","40","","","36-061-0010","AQS"
"03/19/1985","80","","Elizabeth Lab","34-039-0004","AQS"
"03/20/1985","85","","Elizabeth Lab","34-039-0004","AQS"
"03/21/1985","63","","Elizabeth Lab","34-039-0004","AQS"
"03/22/1985","78","","Elizabeth Lab","34-039-0004","AQS"
"03/23/1985","73","","Elizabeth Lab","34-039-0004","AQS"
"03/24/1985","72","","Elizabeth Lab","34-039-0004","AQS"
"03/25/1985","38","","","36-061-0010","AQS"
"03/26/1985","82","","EISENHOWER PARK","36-059-0005","AQS"
"03/27/1985","104","","","34-003-0001","AQS"
"03/28/1985","82","","Elizabeth Lab","34-039-0004","AQS"
"03/29/1985","97","","","34-003-0001","AQS"
"03/30/1985","90","","Elizabeth Lab","34-039-0004","AQS"
"03/31/1985","49","","Elizabeth Lab","34-039-0004","AQS"
"04/01/1985","76","","EISENHOWER PARK","36-059-0005","AQS"
"04/02/1985","55","","","34-003-0001","AQS"
"04/03/1985","96","","Elizabeth Lab","34-039-0004","AQS"
"04/04/1985","64","","","34-003-0001","AQS"
"04/05/1985","104","","","34-003-0001","AQS"
"04/06/1985","69","","","34-003-0001","AQS"
"04/07/1985","47","","Elizabeth Lab","34-039-0004","AQS"
"04/08/1985","58","","","34-003-0001","AQS"
"04/09/1985","81","","","34-003-0001","AQS"
"04/10/1985","95","","","34-003-0001","AQS"
"04/11/1985","107","","","34-003-0001","AQS"
"04/12/1985","103","","Elizabeth Lab","34-039-0004","AQS"
"04/13/1985","104","","Elizabeth Lab","34-039-0004","AQS"
"04/14/1985","68","","","34-003-0001","AQS"
"04/15/1985","111","","","36-005-0074","AQS"
"04/16/1985","71","","","34-003-0001","AQS"
"04/17/1985","66","","","34-003-0001","AQS"
"04/18/1985","95","","","34-003-0001","AQS"
"04/19/1985","93","","","34-003-0001","AQS"
"04/20/1985","97","","","34-003-0001","AQS"
"04/21/1985","104","","","34-003-0001","AQS"
"04/22/1985","131","","","34-003-0001","AQS"
"04/23/1985","81","","Elizabeth Lab","34-039-0004","AQS"
"04/24/1985","87","","","34-003-0001","AQS"
"04/25/1985","109","","","34-003-0001","AQS"
"04/26/1985","132","","","36-005-0074","AQS"
"04/27/1985","65","","Bayonne","34-017-0006","AQS"
"04/28/1985","80","","","34-003-0001","AQS"
"04/29/1985","80","","","34-013-0011","AQS"
"04/30/1985","79","","EISENHOWER PARK","36-059-0005","AQS"
"05/01/1985","99","","EISENHOWER PARK","36-059-0005","AQS"
"05/02/1985","45","","","34-013-0011","AQS"
"05/03/1985","91","","","34-003-0001","AQS"
"05/04/1985","70","","","34-003-0001","AQS"
"05/05/1985","61","","East Orange","34-013-1003","AQS"
"05/06/1985","70","","EISENHOWER PARK","36-059-0005","AQS"
"05/07/1985","54","","","34-003-0001","AQS"
"05/08/1985","55","","","34-003-0001","AQS"
"05/09/1985","73","","East Orange","34-013-1003","AQS"
"05/10/1985","73","","","34-003-0001","AQS"
"05/11/1985","99","","","34-003-0001","AQS"
"05/12/1985","47","","","36-005-0074","AQS"
"05/13/1985","70","","EISENHOWER PARK","36-059-0005","AQS"
"05/14/1985","63","","Elizabeth Lab","34-039-0004","AQS"
"05/15/1985","52","","Elizabeth Lab","34-039-0004","AQS"
"05/16/1985","50","","","36-005-0074","AQS"
"05/17/1985","38","","","36-005-0074","AQS"
"05/18/1985","82","","","34-003-0001","AQS"
"05/19/1985","93","","","34-003-0001","AQS"
"05/20/1985","104","","","34-003-0001","AQS"
"05/21/1985","98","","","34-003-0001","AQS"
"05/22/1985","84","","","34-003-0001","AQS"
"05/23/1985","83","","","36-005-0074","AQS"
"05/24/1985","102","","","34-003-0001","AQS"
"05/25/1985","105","","Elizabeth Lab","34-039-0004","AQS"
"05/26/1985","108","","","34-003-0001","AQS"
"05/27/1985","86","","","36-061-0010","AQS"
"05/28/1985","112","","","36-005-0074","AQS"
"05/29/1985","126","","","36-005-0074","AQS"
"05/30/1985","84","","","34-003-0001","AQS"
"05/31/1985","89","","","34-003-0001","AQS"
