"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1985","26","","","36-061-0063","AQS"
"01/02/1985","22","","WHITE PLAINS","36-119-2004","AQS"
"01/03/1985","23","","WHITE PLAINS","36-119-2004","AQS"
"01/04/1985","19","","WHITE PLAINS","36-119-2004","AQS"
"01/05/1985","30","","Chester","34-027-3001","AQS"
"01/06/1985","19","","Chester","34-027-3001","AQS"
"01/07/1985","14","","Flemington","34-019-0001","AQS"
"01/08/1985","24","","WHITE PLAINS","36-119-2004","AQS"
"01/09/1985","32","","Chester","34-027-3001","AQS"
"01/10/1985","23","","Chester","34-027-3001","AQS"
"01/11/1985","28","","Chester","34-027-3001","AQS"
"01/12/1985","28","","Chester","34-027-3001","AQS"
"01/13/1985","23","","Flemington","34-019-0001","AQS"
"01/14/1985","25","","Flemington","34-019-0001","AQS"
"01/15/1985","26","","Chester","34-027-3001","AQS"
"01/16/1985","29","","Chester","34-027-3001","AQS"
"01/17/1985","17","","","36-061-0063","AQS"
"01/18/1985","22","","Flemington","34-019-0001","AQS"
"01/19/1985","29","","","34-039-5001","AQS"
"01/20/1985","29","","","34-039-5001","AQS"
"01/21/1985","18","","Flemington","34-019-0001","AQS"
"01/22/1985","22","","","34-039-5001","AQS"
"01/23/1985","24","","","34-039-5001","AQS"
"01/24/1985","23","","Flemington","34-019-0001","AQS"
"01/25/1985","25","","Chester","34-027-3001","AQS"
"01/26/1985","28","","Chester","34-027-3001","AQS"
"01/27/1985","21","","WHITE PLAINS","36-119-2004","AQS"
"01/28/1985","27","","Chester","34-027-3001","AQS"
"01/29/1985","31","","Chester","34-027-3001","AQS"
"01/30/1985","17","","BABYLON","36-103-0002","AQS"
"01/31/1985","27","","","36-061-0063","AQS"
"02/01/1985","23","","","36-061-0063","AQS"
"02/02/1985","29","","Chester","34-027-3001","AQS"
"02/03/1985","33","","Chester","34-027-3001","AQS"
"02/04/1985","34","","Chester","34-027-3001","AQS"
"02/05/1985","21","","Chester","34-027-3001","AQS"
"02/06/1985","21","","Flemington","34-019-0001","AQS"
"02/07/1985","36","","Chester","34-027-3001","AQS"
"02/08/1985","31","","New Brunswick","34-023-0006","AQS"
"02/09/1985","32","","Chester","34-027-3001","AQS"
"02/10/1985","38","","Chester","34-027-3001","AQS"
"02/11/1985","28","","","36-061-0063","AQS"
"02/12/1985","30","","","36-047-0007","AQS"
"02/13/1985","19","","Chester","34-027-3001","AQS"
"02/14/1985","28","","Chester","34-027-3001","AQS"
"02/15/1985","31","","Chester","34-027-3001","AQS"
