"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/1988","16","","Jersey City Firehouse","34-017-1003","AQS"
"01/04/1988","46","","PS 314","36-047-0052","AQS"
"01/06/1988","18","","Jersey City Firehouse","34-017-1003","AQS"
"01/08/1988","25","","Jersey City Firehouse","34-017-1003","AQS"
"01/10/1988","53","","FORT LEE","34-003-0004","AQS"
"01/12/1988","67","","Jersey City Firehouse","34-017-1003","AQS"
"01/14/1988","22","","Jersey City Firehouse","34-017-1003","AQS"
"01/16/1988","73","","FORT LEE","34-003-0004","AQS"
"01/18/1988","35","","Jersey City Firehouse","34-017-1003","AQS"
"01/20/1988","35","","Jersey City Firehouse","34-017-1003","AQS"
"01/22/1988","45","","MADISON AVE","36-061-0077","AQS"
"01/24/1988","31","","Jersey City Firehouse","34-017-1003","AQS"
"01/26/1988","24","","Jersey City Firehouse","34-017-1003","AQS"
"01/28/1988","56","","FORT LEE","34-003-0004","AQS"
"01/30/1988","39","","Jersey City Firehouse","34-017-1003","AQS"
"02/01/1988","49","","Jersey City Firehouse","34-017-1003","AQS"
"02/03/1988","38","","MADISON AVE","36-061-0077","AQS"
"02/05/1988","15","","Jersey City Firehouse","34-017-1003","AQS"
"02/07/1988","21","","Jersey City Firehouse","34-017-1003","AQS"
"02/09/1988","53","","MADISON AVE","36-061-0077","AQS"
"02/11/1988","32","","Jersey City Firehouse","34-017-1003","AQS"
"02/13/1988","17","","Jersey City Firehouse","34-017-1003","AQS"
"02/15/1988","51","","MADISON AVE","36-061-0077","AQS"
"02/17/1988","40","","Jersey City Firehouse","34-017-1003","AQS"
"02/19/1988","50","","Jersey City Firehouse","34-017-1003","AQS"
"02/21/1988","20","","Elizabeth Mitchell Bldg","34-039-0006","AQS"
"02/23/1988","19","","Jersey City Firehouse","34-017-1003","AQS"
"02/25/1988","31","","Jersey City Firehouse","34-017-1003","AQS"
"02/27/1988","45","","FORT LEE","34-003-0004","AQS"
"03/02/1988","43","","Jersey City Firehouse","34-017-1003","AQS"
