"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/03/1999","52","","Union City","34-017-2002","AQS"
"01/06/1999","84","","Jersey City Firehouse","34-017-1003","AQS"
"01/09/1999","104","","","34-013-0011","AQS"
"01/12/1999","81","","Jersey City Firehouse","34-017-1003","AQS"
"01/15/1999","64","","Union City","34-017-2002","AQS"
"01/18/1999","72","","Union City","34-017-2002","AQS"
"01/21/1999","137","","Jersey City Firehouse","34-017-1003","AQS"
"01/24/1999","35","","Elizabeth Mitchell Bldg","34-039-0006","AQS"
"01/27/1999","102","","Elizabeth Mitchell Bldg","34-039-0006","AQS"
"01/30/1999","67","","","34-013-0011","AQS"
"02/02/1999","78","","","34-013-0011","AQS"
"02/05/1999","42","","","34-013-0011","AQS"
"02/08/1999","79","","Elizabeth Lab","34-039-0004","AQS"
"02/14/1999","59","","Fort Lee Library","34-003-0003","AQS"
"02/17/1999","136","","Elizabeth Lab","34-039-0004","AQS"
"02/18/1999","78","","Toms River","34-029-2002","AQS"
"02/20/1999","55","","Jersey City Firehouse","34-017-1003","AQS"
"02/23/1999","71","","Elizabeth Lab","34-039-0004","AQS"
"02/26/1999","47","","Jersey City Firehouse","34-017-1003","AQS"
"03/01/1999","46","","Jersey City Firehouse","34-017-1003","AQS"
"03/04/1999","37","","","34-013-0011","AQS"
"03/07/1999","33","","Fort Lee Library","34-003-0003","AQS"
"03/10/1999","35","","Jersey City Firehouse","34-017-1003","AQS"
"03/13/1999","27","","Jersey City Firehouse","34-017-1003","AQS"
"03/16/1999","56","","Elizabeth Lab","34-039-0004","AQS"
"03/19/1999","26","","Elizabeth Lab","34-039-0004","AQS"
"03/22/1999","44","","Elizabeth Lab","34-039-0004","AQS"
"03/25/1999","51","","Toms River","34-029-2002","AQS"
"03/28/1999","45","","Elizabeth Lab","34-039-0004","AQS"
"03/31/1999","77","","Jersey City Firehouse","34-017-1003","AQS"
"04/03/1999","52","","Fort Lee Library","34-003-0003","AQS"
"04/06/1999","62","","","34-013-0011","AQS"
"04/09/1999","56","","Elizabeth Lab","34-039-0004","AQS"
"04/12/1999","37","","Elizabeth Lab","34-039-0004","AQS"
"04/15/1999","35","","Jersey City Firehouse","34-017-1003","AQS"
"04/18/1999","39","","Elizabeth Mitchell Bldg","34-039-0006","AQS"
"04/21/1999","61","","Elizabeth Lab","34-039-0004","AQS"
"04/24/1999","23","","","34-013-0011","AQS"
"04/27/1999","21","","Elizabeth Lab","34-039-0004","AQS"
"04/30/1999","52","","","34-013-0011","AQS"
"05/03/1999","39","","Elizabeth Lab","34-039-0004","AQS"
"05/06/1999","82","","","34-013-0011","AQS"
"05/09/1999","55","","","34-013-0011","AQS"
"05/12/1999","67","","Elizabeth Lab","34-039-0004","AQS"
"05/15/1999","37","","","34-013-0011","AQS"
"05/18/1999","56","","Elizabeth Lab","34-039-0004","AQS"
"05/21/1999","92","","NEWARK-WILLIS CENTER","34-013-0015","AQS"
"05/24/1999","131","","NEWARK-WILLIS CENTER","34-013-0015","AQS"
"05/27/1999","30","","NEWARK-WILLIS CENTER","34-013-0015","AQS"
"05/30/1999","86","","","34-013-0011","AQS"
"06/02/1999","89","","Jersey City Firehouse","34-017-1003","AQS"
"06/05/1999","53","","Elizabeth Lab","34-039-0004","AQS"
"06/08/1999","111","","Toms River","34-029-2002","AQS"
"06/11/1999","62","","Morristown Amb Squad","34-027-0004","AQS"
"06/14/1999","65","","Elizabeth Lab","34-039-0004","AQS"
"06/17/1999","59","","Morristown Amb Squad","34-027-0004","AQS"
"06/19/1999","54","","Jersey City Firehouse","34-017-1003","AQS"
"06/20/1999","50","","Elizabeth Lab","34-039-0004","AQS"
"06/22/1999","60","","Jersey City Firehouse","34-017-1003","AQS"
"06/23/1999","72","","Fort Lee Library","34-003-0003","AQS"
"06/26/1999","83","","Chester","34-027-3001","AQS"
"06/28/1999","56","","Jersey City Firehouse","34-017-1003","AQS"
"06/29/1999","82","","Morristown Amb Squad","34-027-0004","AQS"
"07/01/1999","68","","","36-005-0073","AQS"
"07/02/1999","92","","Morristown Amb Squad","34-027-0004","AQS"
"07/03/1999","104","","","36-005-0073","AQS"
"07/04/1999","110","","","36-005-0073","AQS"
"07/05/1999","104","","Toms River","34-029-2002","AQS"
"07/06/1999","92","","","36-005-0073","AQS"
"07/08/1999","54","","Toms River","34-029-2002","AQS"
"07/09/1999","64","","","36-005-0073","AQS"
"07/10/1999","63","","","36-005-0073","AQS"
"07/11/1999","75","","Elizabeth Lab","34-039-0004","AQS"
"07/13/1999","25","","","36-005-0073","AQS"
"07/14/1999","52","","","34-013-0011","AQS"
"07/17/1999","126","","POUGHKEEPSIE HIGH SCHOOL","36-027-1004","AQS"
"07/20/1999","111","","Morristown Amb Squad","34-027-0004","AQS"
"07/23/1999","87","","Elizabeth Lab","34-039-0004","AQS"
"07/26/1999","81","","GREENPOINT","36-047-0011","AQS"
"07/29/1999","82","","","36-047-0076","AQS"
"07/31/1999","103","","","36-061-0010","AQS"
"08/01/1999","81","","HEMPSTEAD","36-059-0008","AQS"
"08/02/1999","50","","","36-061-0010","AQS"
