"Date","Sulfur Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1980","149","","","36-103-2001","AQS"
"01/02/1980","133","","","36-047-0007","AQS"
"01/03/1980","115","","","36-103-0037","AQS"
"01/04/1980","127","","","36-061-0010","AQS"
"01/05/1980","89","","PERTH AMBOY","34-023-2003","AQS"
"01/06/1980","117","","","36-005-0003","AQS"
"01/07/1980","115","","GREENPOINT","36-047-0011","AQS"
"01/08/1980","107","","","36-103-5001","AQS"
"01/09/1980","109","","","36-061-0002","AQS"
"01/10/1980","146","","","36-103-5001","AQS"
"01/11/1980","152","","","36-061-0002","AQS"
"01/12/1980","141","","","36-103-0003","AQS"
"01/13/1980","116","","","36-027-1003","AQS"
"01/14/1980","111","","PERTH AMBOY","34-023-2003","AQS"
"01/15/1980","128","","","36-103-5001","AQS"
"01/16/1980","127","","","36-047-0007","AQS"
"01/17/1980","115","","","36-061-0005","AQS"
"01/18/1980","124","","","36-103-5001","AQS"
"01/19/1980","70","","","36-047-0007","AQS"
"01/20/1980","105","","","36-103-0003","AQS"
"01/21/1980","104","","","36-103-0003","AQS"
"01/22/1980","136","","","36-061-0010","AQS"
"01/23/1980","114","","","36-061-0010","AQS"
"01/24/1980","96","","","36-061-0002","AQS"
"01/25/1980","109","","","36-103-5001","AQS"
"01/26/1980","99","","","36-061-0010","AQS"
"01/27/1980","145","","","36-103-0034","AQS"
"01/28/1980","90","","","36-061-0002","AQS"
"01/29/1980","102","","","36-103-0003","AQS"
"01/30/1980","65","","","36-061-0010","AQS"
"01/31/1980","76","","","36-103-0037","AQS"
"02/01/1980","74","","","36-103-0037","AQS"
"02/02/1980","103","","","36-103-0003","AQS"
"02/03/1980","101","","","36-103-0003","AQS"
"02/04/1980","120","","","36-005-0003","AQS"
"02/05/1980","115","","","36-103-0034","AQS"
"02/06/1980","130","","","36-059-2003","AQS"
"02/07/1980","117","","","36-047-0007","AQS"
"02/08/1980","104","","","36-061-0010","AQS"
"02/09/1980","125","","","36-103-0034","AQS"
"02/10/1980","112","","","36-047-0007","AQS"
"02/11/1980","111","","","36-059-0001","AQS"
"02/12/1980","114","","","36-061-0010","AQS"
"02/13/1980","104","","","36-061-0002","AQS"
"02/14/1980","122","","","36-061-0005","AQS"
"02/15/1980","133","","","36-103-0003","AQS"
"02/16/1980","128","","","36-005-0003","AQS"
"02/17/1980","106","","","36-103-0003","AQS"
"02/18/1980","116","","","36-005-0003","AQS"
"02/19/1980","128","","","36-061-0005","AQS"
"02/20/1980","175","","","36-061-0002","AQS"
"02/21/1980","143","","","36-061-0010","AQS"
"02/22/1980","84","","","36-047-0007","AQS"
"02/23/1980","106","","","36-081-0004","AQS"
"02/24/1980","109","","","36-005-0003","AQS"
"02/25/1980","115","","","36-103-2001","AQS"
"02/26/1980","125","","","36-047-0007","AQS"
"02/27/1980","151","","MAMARONECK","36-119-1002","AQS"
"02/28/1980","103","","","36-103-0003","AQS"
"02/29/1980","65","","","36-103-0003","AQS"
"03/01/1980","109","","","36-103-0037","AQS"
"03/02/1980","114","","","36-103-0033","AQS"
"03/03/1980","119","","","36-047-0007","AQS"
"03/04/1980","116","","","36-061-0002","AQS"
"03/05/1980","117","","","36-061-0002","AQS"
"03/06/1980","103","","","36-103-0034","AQS"
"03/07/1980","126","","","36-061-0010","AQS"
"03/08/1980","121","","","36-061-0002","AQS"
"03/09/1980","61","","PERTH AMBOY","34-023-2003","AQS"
"03/10/1980","120","","","36-061-0010","AQS"
"03/11/1980","114","","","36-047-0007","AQS"
"03/12/1980","56","","","36-061-0002","AQS"
"03/13/1980","103","","","36-061-0005","AQS"
"03/14/1980","122","","","36-103-0003","AQS"
"03/15/1980","117","","","36-103-0003","AQS"
"03/16/1980","104","","","36-005-0003","AQS"
"03/17/1980","138","","","36-061-0005","AQS"
"03/18/1980","104","","","36-103-0003","AQS"
"03/19/1980","115","","","36-047-0007","AQS"
"03/20/1980","114","","","36-027-1003","AQS"
"03/21/1980","89","","","36-061-0002","AQS"
