Year,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft
1985,12,7183984,135152,1384,3880,,79532,50356,466315,124838,262051,79426
1986,12,7179609,143251,1582,3536,,80827,57306,491948,124382,281713,85853
1987,12,7284319,148313,1672,3507,,78890,64244,508192,123412,289126,95654
1988,12,7346352,162916,1896,3412,,86578,71030,555567,127148,308479,119940
1989,12,7369454,169487,1905,3254,,93377,70951,542932,121322,287749,133861
1990,12,7322564,174542,2245,3126,,100280,68891,535680,119937,268620,147123
1991,12,7350023,170390,2154,2892,,98512,66832,508465,112015,256473,139977
1992,12,7375097,159578,1995,2815,,91239,63529,466604,103476,236169,126959
1993,12,7347257,153543,1946,2818,,86001,62778,446803,99207,235132,112464
1994,12,7336224,136522,1561,2666,,72540,59755,393598,88370,209808,95420
1995,12,7319546,114023,1177,2317,,59278,51251,327507,73879,180949,72679
1996,12,7339594,98660,983,2332,,49672,45673,283895,61270,162246,60379
1997,12,7320477,92853,770,2157,,44708,45218,263031,54099,157039,51893
1998,12,7357745,85891,633,2046,,39359,43853,237259,46185,147018,44056
1999,12,7429263,78945,664,1702,,36091,40488,220532,40469,140370,39693
2000,12,8008278,75692,673,1630,,32558,40831,212619,37112,139661,35846
2001,12,8023018,74413,714,1664,,30520,41515,213172,34432,146112,32628
2002,12,8084693,63839,587,1689,,27229,34334,186791,30102,129655,27034
2003,12,8098066,59448,597,1609,,25989,31253,176767,28293,124846,23628
2004,12,8101321,55688,570,1428,,24373,29317,171188,26100,124016,21072
2005,12,8115690,54623,539,1412,,24722,27950,162509,23210,120918,18381
2006,12,8165001,52086,596,1071,,23511,26908,153436,22137,115363,15936
2007,12,8220196,50453,496,875,,21787,27295,149488,20914,115318,13256
2008,12,8345075,48430,523,890,,22186,24831,149989,19867,117682,12440
2009,12,8400907,46357,471,832,,18597,26457,142000,18780,112526,10694
2010,12,8175133,48489,536,1036,,19608,27309,139615,17926,111370,10319
